uid,term,estimate,std.error,statistic,p.value,conf.low,conf.high,NRMSE,R2_flipped
318,unionunion,15.81756905982309,2.2496918708342704,7.030993561779347,2.8694225024750192e-12,11.405381344998021,20.22975677464816,0.09442369629273925,0.6514392723849645
319,unionunion,13.487975104436801,2.349285929545709,5.741308426873789,1.0948995740116013e-8,8.880459448033129,18.095490760840473,0.09759483760131855,0.7005167311324532
320,unionunion,17.3852342555055,2.4404109252818365,7.123896256732963,1.4938524400558877e-12,12.599002206685885,22.17146630432512,0.09930013758877426,0.7676931448114325
321,unionunion,11.586174085336832,2.1985141357786975,5.270002087675045,1.5232374306079812e-7,7.274352180385418,15.897995990288248,0.09167312997999187,0.5946256315740992
322,unionunion,12.81442383000565,2.1948863324912717,5.838308635992478,6.210633240651664e-9,8.509718445541264,17.119129214470036,0.09136330365957303,0.6012823741611991
323,unionunion,10.377552761773106,2.29681805797051,4.518230221048857,6.628760497707864e-6,5.872934497528662,14.882171026017552,0.09480979464080823,0.6501182568655062
324,unionunion,14.22355982705932,2.4027284589678697,5.919753342901377,3.831335909881874e-9,9.51122718956092,18.93589246455772,0.09693575040238915,0.7213491006946458
325,unionunion,11.282005477952556,2.191309169029211,5.148522918356922,2.9037257734016346e-7,6.984315780172393,15.579695175732718,0.09158655168011556,0.5951346995298141
326,unionunion,12.516829688557678,2.187112675320677,5.722992614782613,1.217694118512412e-8,8.227371841861448,16.806287535253908,0.09126715816932074,0.6017220584397334
327,unionunion,10.057039827648405,2.2892393378481186,4.393179717548453,1.1800609289710541e-5,5.567286852640597,14.546792802656212,0.0946817119037929,0.6506831467417737
328,unionunion,13.93410724371851,2.393868757200484,5.820748193402961,6.885528493613332e-9,9.239152275925047,18.62906221151197,0.0967218009975462,0.7216815221430763
329,unionunion,11.73328165111627,2.2542556586558367,5.204947187805916,2.155465505840906e-7,7.312138593215489,16.15442470901705,0.09361346628011798,0.6251894049488164
330,unionunion,12.818362768002244,2.2472473294853703,5.704028479561129,1.3586930261293382e-8,8.410966295154854,17.225759240849634,0.0932763554443243,0.630312857678777
331,unionunion,10.509779489195086,2.3530756197837577,4.466401079860286,8.433372533693347e-6,5.894828099152447,15.124730879237726,0.0966594867737863,0.6823801647043541
